run_id,User上链,自签名时间,Provider Create o-VC,Rule Judgment,Reviewer Verify o-VC,Reviewer Create and Sign o-VP,Transferor Verify o-VP,avg_cpu_percent,peak_memory_mb,Provider Upload o-VC,Reviewer Upload o-VP
1,0.654335,0.043176,0.494979,0.000213,0.008129,0.479825,0.018347,6.184000,38.648438,0.492733,0.462091
2,0.506720,0.011498,0.423480,0.000142,0.006924,0.498822,0.017870,6.063077,39.117188,0.421984,0.480974
3,0.563247,0.012038,0.402598,0.000145,0.007228,0.496988,0.017047,5.217910,39.156250,0.401107,0.479130
4,0.577496,0.018566,0.377419,0.000151,0.006958,0.504720,0.016245,6.138806,39.214844,0.375548,0.487817
5,0.450823,0.011324,0.512203,0.000158,0.006863,0.503211,0.016985,4.520896,39.253906,0.510730,0.485462
6,0.472694,0.011976,0.442967,0.000184,0.006745,0.550217,0.016010,4.795522,39.261719,0.437713,0.533323
7,0.420542,0.011404,0.546798,0.000228,0.008366,0.429792,0.016138,5.812500,39.265625,0.544687,0.409956
8,0.546496,0.011539,0.490248,0.000184,0.006789,0.504794,0.016736,5.494286,39.281250,0.488749,0.486521
9,0.377123,0.011317,0.484127,0.000217,0.007586,0.502656,0.017698,6.332258,39.292969,0.482415,0.485445
10,0.465513,0.011438,0.486501,0.000212,0.006706,0.495404,0.016531,5.361538,39.296875,0.485118,0.478088
11,0.485438,0.012049,0.490436,0.000208,0.007048,0.489224,0.016170,6.054545,39.312500,0.488968,0.472242
12,0.482119,0.014592,0.474263,0.000213,0.006897,0.572037,0.016135,5.151471,39.312500,0.472831,0.554836
13,0.410857,0.011585,0.567360,0.000224,0.006985,0.414095,0.016606,4.595313,39.335938,0.565755,0.396785
14,0.564909,0.011447,0.386567,0.000232,0.007065,0.497203,0.016355,5.443939,39.335938,0.385023,0.479554
15,0.485695,0.011604,0.504378,0.000249,0.006832,0.504402,0.016204,5.132353,39.335938,0.503030,0.487170
16,0.483408,0.011523,0.592097,0.000303,0.007106,0.402833,0.016182,4.962687,39.355469,0.590635,0.383925
17,0.480513,0.011505,0.468596,0.000279,0.012121,0.492184,0.016921,5.700000,39.367188,0.467056,0.470809
18,0.469638,0.012030,0.521171,0.000264,0.006868,0.504716,0.016195,4.982353,39.367188,0.519694,0.487412
19,0.471285,0.011219,0.489758,0.000294,0.007249,0.436558,0.016359,5.649206,39.375000,0.488300,0.418216
20,0.559955,0.013160,0.408428,0.000279,0.006825,0.584393,0.017029,5.156338,39.375000,0.407019,0.424904
21,0.399967,0.011318,0.480887,0.000287,0.007142,0.505367,0.016209,6.041935,39.375000,0.479424,0.488141
22,0.487993,0.011527,0.489336,0.000292,0.007089,0.511957,0.017156,4.776471,39.378906,0.479013,0.494040
23,0.439911,0.011679,0.479349,0.000309,0.006632,0.543982,0.016037,4.953030,39.378906,0.477891,0.526307
24,0.476833,0.011887,0.489753,0.000323,0.006998,0.458156,0.016175,5.521875,39.382812,0.488258,0.440758
25,0.530377,0.011900,0.472682,0.000315,0.007104,0.504843,0.018113,4.898551,39.386719,0.471144,0.487023
26,0.420108,0.011636,0.559267,0.000336,0.006893,0.504780,0.016911,5.185075,39.386719,0.557821,0.448840
27,0.476667,0.011466,0.489694,0.000348,0.006947,0.397575,0.016300,6.066129,39.386719,0.488206,0.380321
28,0.477347,0.011571,0.502444,0.000351,0.006917,0.486937,0.016560,5.767164,39.390625,0.500981,0.468953
29,0.496128,0.011687,0.451413,0.000354,0.007628,0.541547,0.017099,5.382353,39.394531,0.450007,0.523092
30,0.421957,0.011389,0.482484,0.000363,0.006845,0.497987,0.018838,5.836508,39.398438,0.480962,0.480281
31,0.557834,0.011686,0.404951,0.000378,0.006691,0.588265,0.016314,4.378571,39.402344,0.403416,0.570916
32,0.474473,0.011386,0.489658,0.000373,0.006861,0.393328,0.016075,5.322581,39.402344,0.488292,0.376180
33,0.471588,0.011495,0.507943,0.000514,0.007040,0.606285,0.016761,4.036111,39.402344,0.506531,0.586964
