run_id,Upload o-VC to Blockchain
1,0.492733
2,0.421984
3,0.401107
4,0.375548
5,0.510730
6,0.437713
7,0.544687
8,0.488749
9,0.482415
10,0.485118
11,0.488968
12,0.472831
13,0.565755
14,0.385023
15,0.503030
16,0.590635
17,0.467056
18,0.519694
19,0.488300
20,0.407019
21,0.479424
22,0.479013
23,0.477891
24,0.488258
25,0.471144
26,0.557821
27,0.488206
28,0.500981
29,0.450007
30,0.480962
31,0.403416
32,0.488292
33,0.506531
34,0.487104
35,0.488392
36,0.406015
37,0.485193
38,0.500262
39,0.472172
40,0.499567
41,0.479175
42,0.577682
43,0.488355
44,0.487723
45,0.489337
46,0.488857
47,0.474821
48,0.488140
49,0.513484
50,0.488169
