run_id,Upload o-VP to Blockchain
1,0.462091
2,0.480974
3,0.479130
4,0.487817
5,0.485462
6,0.533323
7,0.409956
8,0.486521
9,0.485445
10,0.478088
11,0.472242
12,0.554836
13,0.396785
14,0.479554
15,0.487170
16,0.383925
17,0.470809
18,0.487412
19,0.418216
20,0.424904
21,0.488141
22,0.494040
23,0.526307
24,0.440758
25,0.487023
26,0.448840
27,0.380321
28,0.468953
29,0.523092
30,0.480281
31,0.570916
32,0.376180
33,0.586964
34,0.487592
35,0.487363
36,0.482338
37,0.476430
38,0.462711
39,0.480204
40,0.424067
41,0.567552
42,0.486613
43,0.461308
44,0.442443
45,0.486105
46,0.487146
47,0.587332
48,0.461616
49,0.469992
50,0.436723
